"","id","age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income"
"72",72,23,"State-gov",156423,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,0,20,"United-States","<=50K"
"73",73,57,"NULL",176897,"HS-grad",9,"Married-civ-spouse","NULL","Husband","White","Male",0,0,60,"United-States","<=50K"
"74",74,36,"State-gov",97136,"Bachelors",13,"Never-married","Prof-specialty","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
"75",75,17,"Private",239346,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,18,"United-States","<=50K"
"76",76,34,"Private",234386,"Assoc-acdm",12,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
"77",77,28,"Private",129460,"Assoc-voc",11,"Married-civ-spouse","Handlers-cleaners","Wife","White","Female",0,0,30,"Ecuador","<=50K"
"78",78,30,"Private",180374,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","<=50K"
"79",79,47,"Self-emp-inc",101926,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,70,"United-States",">50K"
"80",80,79,"NULL",165209,"HS-grad",9,"Married-civ-spouse","NULL","Husband","White","Male",0,0,40,"United-States","<=50K"
"81",81,30,"Self-emp-not-inc",292472,"Some-college",10,"Married-civ-spouse","Sales","Husband","Amer-Indian-Eskimo","Male",0,0,55,"United-States",">50K"
"82",82,37,"Private",409189,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,30,"Mexico","<=50K"
"83",83,37,"Self-emp-not-inc",348960,"Assoc-acdm",12,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States",">50K"
"84",84,35,"Private",87556,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"85",85,24,"Private",229773,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"86",86,40,"Self-emp-not-inc",55363,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",3411,0,40,"United-States","<=50K"
"87",87,36,"Private",186376,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","Asian-Pac-Islander","Male",0,0,50,"United-States",">50K"
"88",88,55,"Self-emp-not-inc",141409,"10th",6,"Married-civ-spouse","Sales","Husband","White","Male",7688,0,50,"United-States",">50K"
"89",89,32,"Private",90705,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,60,"United-States",">50K"
"90",90,28,"Private",243660,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
"91",91,26,"Local-gov",192213,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"Canada","<=50K"
"92",92,47,"Private",213140,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
"93",93,58,"Private",142924,"Masters",14,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,24,"United-States",">50K"
"94",94,73,"Private",220019,"9th",5,"Widowed","Other-service","Unmarried","White","Female",0,0,9,"United-States","<=50K"
"95",95,23,"Private",335570,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,35,"United-States","<=50K"
"96",96,44,"Private",111275,"HS-grad",9,"Never-married","Other-service","Unmarried","Black","Female",0,0,38,"United-States","<=50K"
"97",97,29,"Private",150861,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"Japan","<=50K"
"98",98,24,"Private",229553,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Female",0,0,20,"NULL","<=50K"
"99",99,39,"Self-emp-inc",239755,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,50,"United-States",">50K"
"100",100,28,"Local-gov",419740,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,52,"United-States","<=50K"
"101",101,46,"Self-emp-inc",110457,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States",">50K"
"102",102,22,"Private",336215,"Assoc-acdm",12,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
"103",103,17,"Private",198830,"11th",7,"Never-married","Adm-clerical","Other-relative","White","Female",0,0,10,"United-States","<=50K"
"104",104,35,"Private",54317,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,1672,50,"United-States","<=50K"
"105",105,35,"Private",301862,"HS-grad",9,"Never-married","Craft-repair","Unmarried","White","Male",0,0,50,"United-States","<=50K"
"106",106,40,"Private",207025,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",6849,0,38,"United-States","<=50K"
"107",107,57,"Private",175942,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"108",108,37,"Private",185359,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
"109",109,31,"Self-emp-inc",113530,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
"110",110,76,"Private",124191,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"111",111,44,"Private",89413,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"112",112,35,"Private",36214,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",4386,0,47,"United-States",">50K"
"113",113,17,"Private",183066,"10th",6,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States","<=50K"
"114",114,32,"Private",209184,"Bachelors",13,"Married-civ-spouse","Sales","Husband","Other","Male",0,0,40,"Puerto-Rico","<=50K"
"115",115,23,"Private",50953,"Some-college",10,"Never-married","Tech-support","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"116",116,49,"Private",122493,"HS-grad",9,"Widowed","Tech-support","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"117",117,23,"Private",123490,"11th",7,"Divorced","Other-service","Unmarried","White","Female",0,0,35,"United-States","<=50K"
"118",118,24,"Private",432376,"Bachelors",13,"Never-married","Sales","Other-relative","White","Male",0,0,40,"United-States","<=50K"
"119",119,39,"Private",53926,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"120",120,39,"Self-emp-not-inc",211785,"HS-grad",9,"Never-married","Craft-repair","Own-child","Black","Female",0,0,20,"United-States","<=50K"
"121",121,55,"Private",37438,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"122",122,21,"Private",203914,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,10,"United-States","<=50K"
"123",123,64,"Self-emp-not-inc",159938,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",2635,0,24,"Italy","<=50K"
"124",124,47,"Self-emp-inc",207540,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"NULL","<=50K"
"125",125,22,"Private",107882,"HS-grad",9,"Never-married","Prof-specialty","Own-child","White","Female",0,0,20,"United-States","<=50K"
"126",126,28,"Private",120471,"HS-grad",9,"Never-married","Transport-moving","Not-in-family","Other","Male",0,0,40,"United-States","<=50K"
"127",127,58,"Private",119751,"HS-grad",9,"Married-civ-spouse","Priv-house-serv","Other-relative","Asian-Pac-Islander","Female",0,0,60,"Philippines","<=50K"
"128",128,30,"Self-emp-not-inc",347166,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"129",129,43,"Private",169031,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"130",130,20,"NULL",114969,"HS-grad",9,"Never-married","NULL","Own-child","White","Male",0,0,40,"United-States","<=50K"
"131",131,23,"Private",189468,"Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Own-child","White","Female",0,0,30,"United-States","<=50K"
"132",132,48,"Local-gov",144122,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",">50K"
"133",133,41,"Private",105616,"Some-college",10,"Widowed","Adm-clerical","Unmarried","Black","Female",0,0,48,"United-States","<=50K"
"134",134,27,"Local-gov",206125,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
"135",135,38,"Private",136081,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",">50K"
"136",136,20,"Private",164775,"5th-6th",3,"Never-married","Handlers-cleaners","Other-relative","White","Male",0,0,40,"Guatemala","<=50K"
"137",137,23,"Private",181557,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,25,"United-States","<=50K"
"138",138,51,"Private",215647,"HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,43,"United-States","<=50K"
"139",139,56,"Private",365050,"7th-8th",4,"Never-married","Farming-fishing","Unmarried","Black","Female",0,0,20,"United-States","<=50K"
"140",140,50,"Private",43764,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,50,"United-States",">50K"
"141",141,36,"Private",160035,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"142",142,50,"Self-emp-not-inc",29231,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",">50K"
"143",143,31,"Private",344200,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"144",144,63,"Private",133144,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",2580,0,20,"United-States","<=50K"
"145",145,32,"Private",209103,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,20,"United-States",">50K"
"146",146,32,"Private",94235,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"147",147,42,"State-gov",102343,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,72,"India",">50K"
"148",148,55,"State-gov",111130,"Assoc-acdm",12,"Divorced","Adm-clerical","Own-child","Asian-Pac-Islander","Male",0,0,40,"United-States","<=50K"
"149",149,48,"Private",102597,"Some-college",10,"Separated","Adm-clerical","Unmarried","White","Female",0,0,44,"United-States","<=50K"
"150",150,44,"Private",260046,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"151",151,26,"Private",210812,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,43,"United-States","<=50K"
"152",152,42,"Private",194636,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","<=50K"
"153",153,38,"Private",192337,"12th",8,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"154",154,37,"Private",193855,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,50,"United-States","<=50K"
"155",155,42,"Private",363591,"HS-grad",9,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"156",156,34,"Private",299507,"Assoc-voc",11,"Never-married","Craft-repair","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"157",157,58,"State-gov",40925,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
"158",158,48,"Private",199058,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"159",159,37,"Private",172538,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","<=50K"
"160",160,22,"Private",450920,"Assoc-acdm",12,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
"161",161,38,"State-gov",321943,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"162",162,29,"Private",215504,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"163",163,28,"Private",210313,"10th",6,"Never-married","Handlers-cleaners","Other-relative","White","Male",0,0,40,"Mexico","<=50K"
"164",164,23,"Private",198992,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,35,"United-States","<=50K"
"165",165,24,"Private",182342,"Bachelors",13,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States","<=50K"
"166",166,20,"NULL",358783,"Some-college",10,"Never-married","NULL","Own-child","White","Female",0,0,35,"United-States","<=50K"
"167",167,34,"Private",196385,"Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
"168",168,24,"Private",239663,"10th",6,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Mexico","<=50K"
"169",169,75,"Self-emp-inc",125197,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,26,"United-States","<=50K"
"170",170,20,"Private",48121,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
"171",171,27,"Private",372500,"5th-6th",3,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,45,"Mexico","<=50K"
"172",172,42,"Federal-gov",46366,"HS-grad",9,"Separated","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
"173",173,63,"NULL",424591,"HS-grad",9,"Married-civ-spouse","NULL","Husband","White","Male",0,0,40,"United-States","<=50K"
"174",174,32,"Private",93213,"Assoc-acdm",12,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,62,"United-States","<=50K"
"175",175,20,"Private",312017,"Some-college",10,"Never-married","Protective-serv","Own-child","White","Male",0,0,40,"Germany","<=50K"
"176",176,31,"Private",259531,"Assoc-voc",11,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"177",177,61,"Self-emp-inc",119986,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
"178",178,21,"Private",112137,"Some-college",10,"Never-married","Prof-specialty","Other-relative","Asian-Pac-Islander","Female",0,0,20,"South","<=50K"
"179",179,43,"Private",339767,"Some-college",10,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,20,"England",">50K"
"180",180,64,"Local-gov",96076,"Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"181",181,26,"Private",137367,"Some-college",10,"Never-married","Handlers-cleaners","Other-relative","Asian-Pac-Islander","Male",0,0,44,"Philippines","<=50K"
"182",182,58,"Private",147707,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,60,"United-States",">50K"
"183",183,19,"Self-emp-inc",148955,"Some-college",10,"Never-married","Other-service","Own-child","Asian-Pac-Islander","Female",0,0,35,"South","<=50K"
"184",184,54,"Self-emp-inc",383365,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,70,"United-States",">50K"
"185",185,46,"Private",370119,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,60,"United-States",">50K"
"186",186,37,"Private",208358,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"187",187,34,"Private",418020,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
"188",188,68,"Local-gov",177596,"10th",6,"Separated","Other-service","Not-in-family","Black","Female",0,0,90,"United-States","<=50K"
"189",189,32,"Private",398019,"7th-8th",4,"Never-married","Priv-house-serv","Not-in-family","White","Female",0,0,15,"Mexico","<=50K"
"190",190,40,"Self-emp-inc",50644,"Assoc-acdm",12,"Divorced","Sales","Unmarried","White","Female",1506,0,40,"United-States","<=50K"
"191",191,40,"Private",155190,"10th",6,"Never-married","Craft-repair","Other-relative","Black","Male",0,0,55,"United-States","<=50K"
"192",192,36,"Private",111377,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"193",193,52,"Private",198863,"Prof-school",15,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2559,60,"United-States",">50K"
"194",194,51,"State-gov",194475,"Some-college",10,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"195",195,25,"Local-gov",334133,"Masters",14,"Never-married","Prof-specialty","Own-child","White","Male",0,0,20,"United-States","<=50K"
"196",196,19,"Private",247679,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
"197",197,36,"Private",213008,"HS-grad",9,"Divorced","Farming-fishing","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"198",198,34,"Private",89644,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,55,"United-States",">50K"
"199",199,25,"NULL",126797,"HS-grad",9,"Married-spouse-absent","NULL","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"200",200,33,"Private",247205,"Bachelors",13,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,40,"England","<=50K"
"201",201,40,"Private",309311,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","<=50K"
"202",202,28,"Private",190525,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,46,"United-States",">50K"
"203",203,25,"State-gov",143062,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
"204",204,41,"Private",167106,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","Asian-Pac-Islander","Male",3103,0,35,"Philippines",">50K"
"205",205,23,"Private",201145,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,65,"United-States","<=50K"
"206",206,32,"Private",118551,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,0,80,"United-States","<=50K"
