"","SalesOrderID","RevisionNumber","OrderDate","DueDate","ShipDate","Status","OnlineOrderFlag","SalesOrderNumber","PurchaseOrderNumber","AccountNumber","CustomerID","ShipToAddressID","BillToAddressID","ShipMethod","CreditCardApprovalCode","SubTotal","TaxAmt","Freight","TotalDue","Comment","rowguid","ModifiedDate"
"22",71898,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71898","PO5713190501","10-4020-000052",29932,637,637,"CARGO TRANSPORT 5",NA,63980.9884,5118.4791,1599.5247,70698.9922,NA,"96F84D24-3355-43D2-B5A3-55E97C17E58C","2008-06-08T00:00:00.0000000"
"23",71899,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71899","PO4582142611","10-4020-000025",29568,993,993,"CARGO TRANSPORT 5",NA,2415.6727,193.2538,60.3918,2669.3183,NA,"31D41E8F-6F43-4CAE-BEE3-3CCCB262F231","2008-06-08T00:00:00.0000000"
"24",71902,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71902","PO5539125166","10-4020-000061",29929,999,999,"CARGO TRANSPORT 5",NA,74058.8078,5924.7046,1851.4702,81834.9826,NA,"137850D6-EFDF-4DE1-920F-5757A86CDAAF","2008-06-08T00:00:00.0000000"
"25",71915,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71915","PO2349143275","10-4020-000006",29638,989,989,"CARGO TRANSPORT 5",NA,2137.231,170.9785,53.4308,2361.6403,NA,"0BCB3D9C-9008-4B99-BB45-928ADAE7BE6B","2008-06-08T00:00:00.0000000"
"26",71917,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71917","PO29111718","10-4020-000304",30025,651,651,"CARGO TRANSPORT 5",NA,40.9045,3.2724,1.0226,45.1995,NA,"6E903EA3-1B9E-4232-94C3-81C15669F830","2008-06-08T00:00:00.0000000"
"27",71920,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71920","PO4002189853","10-4020-000674",29982,1102,1102,"CARGO TRANSPORT 5",NA,2980.7929,238.4634,74.5198,3293.7761,NA,"6228C9CB-1CAB-4E32-98CA-D0DAE5FE563E","2008-06-08T00:00:00.0000000"
"28",71923,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71923","PO174173096","10-4020-000277",29781,1035,1035,"CARGO TRANSPORT 5",NA,106.5408,8.5233,2.6635,117.7276,NA,"F9899F3F-B4B6-4756-B013-96C16BE20427","2008-06-08T00:00:00.0000000"
"29",71935,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71935","PO7946145876","10-4020-000438",29531,1061,1061,"CARGO TRANSPORT 5",NA,6634.2961,530.7437,165.8574,7330.8972,NA,"7033C6EC-B12C-45BC-BD96-56EFDE4C7DD0","2008-06-08T00:00:00.0000000"
"30",71936,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71936","PO8671170385","10-4020-000502",30050,662,662,"CARGO TRANSPORT 5",NA,98278.691,7862.2953,2456.9673,108597.9536,NA,"119DB56A-A97E-414D-B41C-64886FC50AB7","2008-06-08T00:00:00.0000000"
"31",71938,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71938","PO8468183315","10-4020-000016",29546,635,635,"CARGO TRANSPORT 5",NA,88812.8625,7105.029,2220.3216,98138.2131,NA,"A36EE74A-CF0D-4024-A1CE-4EAFFD1F85F0","2008-06-08T00:00:00.0000000"
"32",71946,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71946","PO8961158629","10-4020-000466",29741,660,660,"CARGO TRANSPORT 5",NA,38.9536,3.1163,0.9738,43.0437,NA,"10E3129D-657F-46F9-86F5-CEDD79B1901C","2008-06-08T00:00:00.0000000"
